SKU,EAN,"OLD EAN",stock
KF2387,0732064576206,0732064576206,0
KF2388,0732064576190,0732064576190,0
KF2389,0732064576183,0732064576183,0
KF2390,0732064576176,0732064576176,0
KF2391,0732064576169,0732064576169,0
KF2392,0732064576152,0732064576152,0
KF2393,0732064576145,0732064576145,0
KF2394,0732064576138,0732064576138,0
KF2395,0732064576121,0732064576121,0
KF2396,0732064576114,0732064576114,0
KF2397,0732064576107,0732064576107,0
KF2398,0732064576091,0732064576091,0
KF2399,0732064576084,0732064576084,0
KF23100,0732064576077,0732064576077,0
KF23101,0732064576060,0732064576060,0
KF23102,0732064576053,0732064576053,0
KF23103,0732064576046,0732064576046,0
KF23104,0732064576039,0732064576039,0
KF23105,0732064576022,0732064576022,0
KF231687,0732064576015,0732064576015,0
KF231688,0732064576008,0732064576008,0
KF23106,0732064575995,0732064575995,0
KF23107,0732064575988,0732064575988,0
KF23108,0732064575971,0732064575971,0
KF23109,0732064575964,0732064575964,0
KF23110,0732064575957,0732064575957,0
KF23111,0732064575940,0732064575940,0
KF23112,0732064575933,0732064575933,0
KF231213,0732064575926,0732064575926,0
KF23113,0732064575919,0732064575919,0
KF23114,0732064575902,0732064575902,0
KF23115,0732064575896,0732064575896,0
KF23116,0732064575889,0732064575889,0
KF23117,0732064575872,0732064575872,0
KF23118,0732064575865,0732064575865,0
KF23119,0732064575858,0732064575858,0
KF23120,0732064575841,0732064575841,0
KF23121,0732064575834,0732064575834,0
KF23122,0732064575827,0732064575827,0
KF23123,0732064575810,0732064575810,0
KF23124,0732064575803,0732064575803,0
KF23125,0732064575797,0732064575797,0
KF23126,0732064575780,0732064575780,0
KF23127,0732064575773,0732064575773,0
KF23128,0732064575766,0732064575766,0
KF23129,0732064575759,0732064575759,0
KF23130,0732064575742,0732064575742,0
KF23131,0732064575735,0732064575735,0
KF23132,0732064575728,0732064575728,0
KF23133,0732064575711,0732064575711,0
KF23134,0732064575704,0732064575704,0
KF23135,0732064575698,0732064575698,0
KF23136,0732064575681,0732064575681,0
KF23137,0732064575674,0732064575674,0
KF23138,0732064575667,0732064575667,0
KF23139,0732064575650,0732064575650,0
KF23140,0732064575643,0732064575643,0
KF23141,0732064575636,0732064575636,0
KF23142,0732064575629,0732064575629,0
KF23143,0732064575612,0732064575612,0
KF23144,0732064575605,0732064575605,0
KF23145,0732064575599,0732064575599,0
KF23146,0732064575582,0732064575582,0
KF23147,0732064575575,0732064575575,0
KF231214,0732064575568,0732064575568,0
KF23148,0732064575551,0732064575551,0
KF23149,0732064575544,0732064575544,0
KF23150,0732064575537,0732064575537,0
KF23151,0732064575520,0732064575520,0
KF23152,0732064575513,0732064575513,0
KF23153,0732064575506,0732064575506,0
KF23154,0732064575490,0732064575490,0
KF23155,0732064575483,0732064575483,0
KF23156,0732064575476,0732064575476,0
KF23157,0732064575469,0732064575469,0
KF23158,0732064575452,0732064575452,0
KF23159,0732064575445,0732064575445,0
KF23160,0732064575438,0732064575438,0
KF23161,0732064575421,0732064575421,0
KF23162,0732064575414,0732064575414,0
KF23163,0732064575407,0732064575407,0
KF23164,0732064575391,0732064575391,0
KF23165,0732064575384,0732064575384,0
KF23166,0732064575377,0732064575377,0
KF23167,0732064575360,0732064575360,0
KF23168,0732064575353,0732064575353,0
KF23169,0732064575346,0732064575346,0
KF23170,0732064575339,0732064575339,0
KF23171,0732064575322,0732064575322,0
KF23172,0732064575315,0732064575315,0
KF23173,0732064575308,0732064575308,0
KF23174,0732064575292,0732064575292,0
KF23175,0732064575285,0732064575285,0
KF23176,0732064575278,0732064575278,0
KF23177,0732064575261,0732064575261,0
KF23178,0732064575254,0732064575254,0
KF23179,0732064575247,0732064575247,0
KF23180,0732064575230,0732064575230,0
KF23181,0732064575223,0732064575223,0
KF23182,0732064575216,0732064575216,0
KF23183,0732064575209,0732064575209,0
KF23184,0732064575193,0732064575193,0
KF23185,0732064575186,0732064575186,0
KF23186,0732064575179,0732064575179,0
KF23187,0732064575162,0732064575162,0
KF23188,0732064575155,0732064575155,0
KF23189,0732064575148,0732064575148,0
KF23190,0732064575131,0732064575131,0
KF23191,0732064575124,0732064575124,0
KF23192,0732064575117,0732064575117,0
KF23193,0732064575100,0732064575100,0
KF23194,0732064575094,0732064575094,0
KF23195,0732064575087,0732064575087,0
KF23196,0732064575070,0732064575070,0
KF23197,0732064575063,0732064575063,0
KF23198,0732064575056,0732064575056,0
KF23199,0732064575049,0732064575049,0
KF23200,0732064575032,0732064575032,0
